Project_Name,Project_URL,Project_Hash,Polluter,Cleaner,Victim
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_data
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_data
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_data
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_data
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_data
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestLinuxNoXDG::test_noxdg_data
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_cache,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_cache
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_data,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_cache_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_config
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,tests/test___init__.py::TestXDG::test_xdg_config,tests/test___init__.py::TestMakedirs::test_config_dir,tests/test___init__.py::TestMacForceUnix::test_noxdg_config
